date,source,description,amount
2020-04-24,"Business Checking",PostNet,50.00
2020-04-27,"Business Checking",PostNet,1.95
2020-04-28,"Business Checking","United Pacific Gas Station",6.67
2020-04-28,"Business Checking","Westmoreland Ac",2.59
2020-04-28,"Business Checking","Prem Auth",87.50
2020-05-05,"Business Checking","Statement Fee",2.00
2020-05-08,"Business Checking",Target,0.18
2020-05-11,"Business Checking","Dinomart At Fis",3.55
2020-06-05,"Business Checking","Probiller Auth",9.99
2020-06-08,"Business Checking","Carl's Jr.",10.97
2020-06-08,"Business Checking","Prem Auth",83.33
2020-06-15,"Business Checking",Square,0.01
2020-06-15,"Business Checking",PostNet,2.50
2020-06-16,"Business Checking",PostNet,1.20
2020-06-19,"Business Checking","Kabbage Micro",1.49
2020-06-25,"Business Checking","Google Kitxoo",1.99
2020-06-25,"Business Checking","Sand Auth",0.95
2020-06-25,"Business Checking","Sand Auth",0.95
2020-06-29,"Business Checking","Miscellaneous Debit Visa Foreign Transaction Fee",0.01
2020-06-29,"Business Checking","Miscellaneous Debit Visa Foreign Transaction Fee",0.01
2020-07-03,"Business Checking","Google Perc",4.99
2020-07-20,"Business Checking","Google Perc",4.99
2020-07-20,"Business Checking","Google Smart",1.99
2020-07-21,"Business Checking","Google Kingsgr",9.99
2020-07-21,"Business Checking","Carl's Jr.",10.98
2020-07-23,"Business Checking","Yacolt Market",7.46
2020-07-27,"Business Checking","Oil Woodburn",50.00
2020-08-24,"Business Checking","Lovejoy Market",10.73
2020-08-27,"Business Checking","Camas Mart",3.79
2020-08-27,"Business Checking","Dinomart At Fish",4.82
2020-08-28,"Business Checking","N Pull Portland",2.00
2020-08-28,"Business Checking","Premi Auth",87.50
2020-08-31,"Business Checking","S Market Portland",10.76
2020-08-31,"Business Checking","United Pacific Gas Station",10.98
2020-08-31,"Business Checking","ATM Village Pant",42.50
2020-08-31,"Business Checking","ATM Fee",2.00
2020-08-31,"Business Checking",Vancouver,50.69
2020-08-31,"Business Checking",Vancouver,8.85
2020-08-31,"Business Checking","Snappys Gas",14.63
2020-08-31,"Business Checking","Heart Gyros Vancouber Wa Auth",15.46
2020-08-31,"Business Checking","T Men Auth",102.09
2020-08-31,"Business Checking","Market Hillsboro",10.76
2020-09-01,"Business Checking","Value Village",19.21
2020-09-01,"Business Checking","Google Kitxoo",1.35
2020-09-02,"Business Checking",Google,2.32
2020-09-02,"Business Checking","Google Zeptolab",4.99
2020-09-03,"Business Checking","Google Iris Stu",19.99
2020-09-03,"Business Checking","A Food Mar",12.13
2020-09-04,"Business Checking","PepsiCo Vending",2.60
2020-09-04,"Business Checking","Regional P Fairview",5.00
2020-09-04,"Business Checking",PostNet,40.00
2020-09-08,"Business Checking","Google Web Aler",2.49
2020-09-08,"Business Checking","Gas Stati Portland",55.80
2020-09-15,"Business Checking","United Pacific Gas Station",12.91
2020-09-16,"Business Checking","T Men Auth",70.00
2020-09-16,"Business Checking","Google Iris Stu",6.99
2020-09-17,"Business Checking","Google Cookapps",19.99
2020-09-17,"Business Checking","Inc Auth",141.95
2020-09-21,"Business Checking","Google Cookapps",2.99
2020-09-21,"Business Checking","Sunset Auto Part",37.86
2020-09-22,"Business Checking","Google Neat Byt",1.99
2020-09-22,"Business Checking","Omo Cornell Mini",5.69
2020-09-23,"Business Checking","Google Anthony",9.99
2020-09-23,"Business Checking","Google Anthony",4.99
2020-09-23,"Business Checking",PostNet,75.00
2020-09-23,"Business Checking","Baxter Auto",74.96
2020-09-23,"Business Checking","Google Cookapps",4.99
2020-09-24,"Business Checking","United Pacific Gas Station",14.43
2020-09-24,"Business Checking","Google Zeptolab",1.99
2020-09-24,"Business Checking","Baxter Auto",11.98
2020-09-24,"Business Checking",ProBiller,9.99
2020-09-28,"Business Checking","Google Elijah",5.99
2020-09-28,"Business Checking","Travel Ce Portland",5.70
2020-10-02,"Business Checking",Auth,24.00
2020-10-02,"Business Checking","Google Cookapps",9.99
2020-10-05,"Business Checking","Van Damme S Auth",119.00
2020-10-07,"Business Checking","Bever Ridgefield Wa Auth",2.00
2020-10-07,"Business Checking","Best Buy",37.87
2020-10-08,"Business Checking","Baxter Auto",57.46
2020-10-09,"Business Checking","And B Tool Sal Auth",25.72
2020-10-13,"Business Checking","N Pull Sherwood",7.54
2020-10-13,"Business Checking","N Pull Sherwood",87.30
2020-10-14,"Business Checking","Ace Beaverton",32.47
2020-10-14,"Business Checking","Carl's Jr.",11.38
2020-10-15,"Business Checking",Sei,6.59
2020-10-19,"Business Checking","S Market Portland",5.88
2020-10-19,"Business Checking","United Pacific Gas Station (Fast Food)",1.99
2020-10-19,"Business Checking","United Pacific Gas Station",6.15
2020-10-19,"Business Checking","United Pacific Gas Station (Fast Food)",4.49
2020-10-19,"Business Checking",Daxiangd,20.00
2020-10-19,"Business Checking","Miscellaneous Debit Visa Foreign Transaction Fee",0.20
2020-10-19,"Business Checking",Food,13.06
2020-10-21,"Business Checking",Walgreens,18.87
2020-10-21,"Business Checking","Dba Prestige Oil",5.40
2020-10-28,"Business Checking","Dashlane Auth",59.99
2020-10-28,"Business Checking","Capital Premium Ins",85.16
2020-10-29,"Business Checking","Age King City",36.69
2020-10-30,"Business Checking","Manageme Mi Auth",99.00
2020-10-31,"Business Checking","T Men Auth",239.72
2020-11-01,"Business Checking",Thriftway,8.44
2020-11-03,"Business Checking","Gsuite Internet Ca Auth",24.00
2020-11-09,"Business Checking",Sei,16.48
2020-12-01,"Business Checking","Google Kitxoo",1.35
2020-12-01,"Business Checking","Prime Video",8.99
2020-12-03,"Business Checking","Manageme Auth",99.00
2020-12-03,"Business Checking","Google (App Purchase from Gsuite_w Cc@)",24.00
2020-12-07,"Business Checking","Carl's Jr.",11.38
2020-12-17,"Business Checking","Evergreen Center",8.50
2020-12-21,"Business Checking","Dinomart At Fish",14.17
2020-12-21,"Business Checking","Google Cookapps",9.99
2020-12-23,"Business Checking","Premi Auth",83.33
2020-12-24,"Business Checking","Google Headupgm",2.99
2020-12-28,"Business Checking",Walgreens,18.77
2020-12-28,"Business Checking","ATM Onpoint Community",40.00
2020-12-31,"Business Checking","Prime Video",8.99
2020-12-31,"Business Checking","Google Kitxoo",1.35
2021-01-01,"Business Checking","Google Cookapps",19.99
2021-01-04,"Business Checking","T Men Auth",135.19
2021-01-04,"Business Checking",Winco,78.48
2021-01-04,"Business Checking","United Pacific Gas Station",10.74
2021-01-04,"Business Checking","Market Portland",16.65
2021-01-04,"Business Checking","Market Portland",4.49
2021-01-04,"Business Checking","Manageme Auth",99.00
2021-01-04,"Business Checking","Google Eric Sam",8.99
2021-01-05,"Business Checking","House Of Pipes",15.00
2021-01-05,"Business Checking",Texaco,46.34
2021-01-06,"Business Checking",Ace,11.28
2021-01-07,"Business Checking","Google Bytro",12.99
2021-01-08,"Business Checking","Carl's Jr.",2.99
2021-01-08,"Business Checking","Camping World",90.25
2021-01-08,"Business Checking","Villa Ace Portland",9.48
2021-01-08,"Business Checking",Auth,27.86
2021-01-11,"Business Checking",PostNet,75.00
2021-01-11,"Business Checking",Winco,60.94
2021-01-11,"Business Checking",Portland,12.86
2021-01-11,"Business Checking","Travel Ce Portland",15.00
2021-01-14,"Business Checking","Plaid Pantriy",11.05
2021-01-14,"Business Checking","Dollar Tree",6.45
2021-01-19,"Business Checking",Winco,91.55
2021-01-19,"Business Checking",Winco,101.93
2021-01-19,"Business Checking","Uc Market",12.37
2021-01-19,"Business Checking","T Men Auth",103.34
2021-01-19,"Business Checking","Google Cookapps",19.99
2021-01-20,"Business Checking","Carl's Jr.",10.18
2021-01-20,"Business Checking","United Pacific Gas Station",13.04
2021-01-21,"Business Checking","Google Cookapps",9.99
2021-01-22,"Business Checking","Tab Snap Loan Payment",46.37
2021-01-26,"Business Checking","Estacada Tru",31.57
2021-01-26,"Business Checking",Pla,5.00
2021-01-28,"Business Checking","Sak Ye Portland",10.48
2021-01-28,"Business Checking","Liberty Mutual",248.80
2021-01-29,"Business Checking","Tab Snap Loan Payment",46.37
2021-01-29,"Business Checking","Dispatch Software",99.00
2021-01-31,"Business Checking","Manageme Mi Auth",90.00
2021-01-31,"Business Checking","Va Auth",16.68
2021-01-31,"Business Checking","Omo Food Stor",4.09
2021-01-31,"Business Checking","Prime Video",8.99
2021-02-01,"Business Checking","Google Cookapps",19.99
2021-02-01,"Business Checking","Gas Stati Portland",6.00
2021-02-01,"Business Checking","Gas Stati Portland",14.05
2021-02-01,"Business Checking","Google Kitxoo",1.35
2021-02-01,"Business Checking",Google,36.00
2021-02-04,"Business Checking","A Boy Electric",8.78
2021-02-05,"Business Checking","Tab Snap Loan Payment",46.37
2021-02-08,"Business Checking","Carl's Jr.",11.38
2021-02-08,"Business Checking","Google Cookapps",4.99
2021-02-12,"Business Checking",Auth,19.95
2021-02-12,"Business Checking","Tab Snap Loan Payment",46.37
2021-02-16,"Business Checking","Shari's Cafe and Pies",23.77
2021-02-17,"Business Checking","T Men Auth",122.65
2021-02-17,"Business Checking","Travel Ce Portland",15.00
2021-02-17,"Business Checking",Portland,5.57
2021-02-18,"Business Checking","Travel Ce Portland",34.98
2021-02-19,"Business Checking","Tab Snap Loan Payment",46.37
2021-02-22,"Business Checking","Rite Aid",7.99
2021-02-22,"Business Checking","Rite Aid",21.85
2021-02-22,"Business Checking","United Pacific Gas Station",14.71
2021-02-22,"Business Checking","United Pacific Gas Station",8.68
2021-02-23,"Business Checking","Google Corecraf",1.05
2021-02-24,"Business Checking","Carl's Jr.",10.38
2021-02-25,"Business Checking","Market Milwaukie",15.06
2021-02-26,"Business Checking",H-Mart,14.86
